"","Country Name","Year","FSI","Rule of Law","Voice.Accountability","No violence Index","CorruptionPI","Human Development Index","Life_Satisfaction","Healthcare_Exp","GDP Per Capita","Unemployment Rate","FSI (Year+4)"
"28","Bulgaria","2012",56.3,-0.1037946,0.4009156,0.379834,41,0.795,4.222,7.57881832,7395.84980340721,12.27,53.7
"29","Bulgaria","2013",55,-0.1302277,0.3372708,0.1707104,41,0.801,3.993,7.1707921,7655.12970759319,12.94,53.7
"30","Bulgaria","2014",54.4,-0.0763632,0.366463,0.0785409,43,0.806,4.438,7.7096777,7876.86646539994,11.42,51.7
"31","Bulgaria","2015",55.4,-0.1256403,0.432573,0.0173222,41,0.809,4.865,7.41338348,7055.93567291245,9.14,50.6
"32","Canada","2007",25.1,1.814706,1.384672,1.006867,8.7,0.896,7.482,9.43898201,44659.8951408034,6.04,27.7
"33","Canada","2008",26.3,1.80829,1.407529,1.04185,8.7,0.898,7.486,9.59853268,46710.5055759013,6.14,26.8
"34","Canada","2009",27.7,1.804082,1.401846,1.126739,8.7,0.898,7.488,10.70911217,40876.3101540295,8.34,26
"35","Canada","2010",27.9,1.805736,1.352596,0.9363182,8.9,0.901,7.65,10.6837883,47562.0834253057,8.06,27.4
"36","Canada","2011",27.7,1.736465,1.380145,1.077176,8.67,0.903,7.426,10.33907032,52223.696112356,7.51,25.6
"37","Canada","2012",26.8,1.763494,1.437505,1.113016,84,0.906,7.415,10.42859364,52669.0899632316,7.29,23.8
"38","Canada","2013",26,1.755872,1.453487,1.061422,81,0.913,7.594,10.34045982,52635.1749580433,7.07,22.6
"39","Canada","2014",27.4,1.890623,1.41236,1.175504,81,0.918,7.304,10.25013065,50955.9983232404,6.91,21.5
"40","Canada","2015",25.6,1.84192,1.467126,1.274698,83,0.921,7.413,10.68328094,43596.1355365546,6.91,20
"41","Croatia","2007",60.5,0.0876414,0.517976,0.6047199,4.1,0.808,5.821,7.46290779,13937.448387519,9.91,56.3
"42","Croatia","2009",60.1,0.1621467,0.4862779,0.6115873,4.1,0.812,5.433,8.17594814,14540.6416034433,9.2,54.1
"43","Croatia","2010",59,0.2019625,0.4764283,0.6084636,4.1,0.815,5.596,8.10364056,13949.3264974977,11.62,52.9
"44","Croatia","2011",57.3,0.2178908,0.5210824,0.6237471,4.03,0.823,5.385,7.79134035,14609.5243524166,13.68,51
"45","Croatia","2012",56.3,0.2455959,0.5408306,0.6068915,46,0.825,6.028,7.7956953,13258.3598451041,15.94,52.4
"46","Croatia","2013",54.1,0.2774972,0.5137413,0.6426679,48,0.83,5.885,6.53333521,13674.4178049999,17.25,50.6
"47","Croatia","2014",52.9,0.3045185,0.5149403,0.6191124,48,0.835,5.381,6.69970798,13599.4097770608,17.29,48.7
"48","Croatia","2015",51,0.18684,0.5555071,0.590728,51,0.84,5.205,6.78635979,11781.7347932429,16.18,47.5
"49","Cyprus","2006",70.5,1.105021,1.052067,0.5397544,5.6,0.842,6.238,5.46357489,26729.3234045802,4.54,66.8
"50","Cyprus","2009",68.9,1.212835,1.068028,0.3891754,6.6,0.862,6.833,6.46531582,32109.2425148579,5.36,67
"51","Cyprus","2010",68,1.216268,1.023391,0.4524448,6.3,0.856,6.387,6.51767111,31023.6383309791,6.26,67.9
"52","Cyprus","2011",67.6,1.072972,1.053583,0.6079845,6.27,0.86,6.69,6.44928503,32396.3857437121,7.86,66.2
"53","Cyprus","2012",66.8,1.099575,1.022024,0.6351261,66,0.859,6.181,6.55474567,28912.1569390403,11.8,64
"54","Cyprus","2013",67,1.036493,0.9808227,0.5633472,63,0.86,5.439,6.94518471,27729.1926990735,15.87,62.6
"55","Cyprus","2014",67.9,1.076946,1.01997,0.5518821,63,0.862,5.627,6.9609561,27163.3329657606,16.09,60.3
"56","Cyprus","2015",66.2,1.039793,1.031584,0.5508665,61,0.865,5.439,6.92568588,23408.3366816249,14.91,57.8
"57","Denmark","2007",22.2,2.01373,1.477704,1.117682,9.4,0.911,7.834,9.3251543,58487.0549677696,3.8,23.8
"58","Denmark","2008",21.5,1.966503,1.538306,1.065299,9.3,0.917,7.971,9.51134396,64322.0635020842,3.68,23
"59","Denmark","2009",23.2,1.924757,1.538261,1.000632,9.3,0.914,7.683,10.67432022,58163.2768762815,6.41,21.9
"60","Denmark","2010",22.9,1.905866,1.541957,1.040961,9.3,0.917,7.771,10.33315945,58041.3984363385,7.75,22.8
"61","Denmark","2011",23.8,1.929628,1.551707,1.100293,9.39,0.93,7.788,10.15291023,61753.647131977,7.77,21.4
"62","Denmark","2012",23,1.882329,1.674114,0.9149107,90,0.931,7.52,10.24135303,58507.5080517852,7.8,21.5
"63","Denmark","2013",21.9,1.911077,1.666271,0.9592335,91,0.933,7.589,10.16958141,61191.1937042028,7.38,21.5
"64","Denmark","2014",22.8,2.105698,1.524577,0.9517797,92,0.935,7.508,10.17190456,62548.9847332908,6.93,19.8
"65","Denmark","2015",21.4,2.05181,1.552826,0.8976498,91,0.933,7.514,10.22716618,53254.8563700916,6.28,19.5
"66","Estonia","2006",51,1.1409,1.068222,0.7364985,6.7,0.839,5.371,4.76530361,12631.5680518102,5.92,49.3
"67","Estonia","2007",50.5,1.173005,1.073011,0.6338796,6.5,0.846,5.332,4.98330879,16741.9392266596,4.59,47.5
"68","Estonia","2008",51,1.199121,1.091653,0.5707842,6.6,0.848,5.452,5.71032381,18227.1195304476,5.46,45.3
"69","Estonia","2009",51.2,1.131253,1.085522,0.5657759,6.6,0.846,5.138,6.51218891,14794.9711049549,13.55,45.2
"70","Estonia","2011",49.3,1.183756,1.133726,0.6110413,6.35,0.86,5.487,5.76757813,17624.0445588254,12.33,43.7
"71","Estonia","2012",47.5,1.157049,1.111925,0.6364652,64,0.865,5.364,5.79034519,17534.421349913,10.02,43.4
"72","Estonia","2013",45.3,1.198388,1.116849,0.7482154,68,0.869,5.367,5.97791481,19174.1003261509,8.63,44.7
"73","Estonia","2014",45.2,1.372824,1.17031,0.7802579,69,0.871,5.556,6.08077621,20367.103161316,7.35,43
"74","Estonia","2015",43.7,1.331785,1.186864,0.6209198,70,0.877,5.629,6.34629202,17522.230186252,6.19,40.8
"75","Finland","2006",18.2,1.973505,1.494072,1.501351,9.6,0.912,7.672,8.2841177,41188.0936997302,7.72,20
"76","Finland","2008",18.4,1.922676,1.463081,1.445845,9,0.917,7.671,8.34310627,53554.0389224673,6.37,18
"77","Finland","2010",19.3,1.968747,1.486713,1.423607,9.2,0.916,7.393,9.14202785,46459.9732548543,8.39,18.7
"78","Finland","2011",19.7,1.949425,1.507551,1.393471,9.4,0.92,7.354,9.22303009,51081.9976703127,7.78,17.7
"79","Finland","2012",20,1.951405,1.600697,1.400765,90,0.921,7.42,9.5857954,47710.7902169415,7.69,18.8
"80","Finland","2013",18,1.964584,1.573706,1.385172,89,0.928,7.445,9.80534649,49878.0432444536,8.19,18.7
"81","Finland","2014",18.7,2.129668,1.541917,1.282197,89,0.928,7.385,9.78115082,50260.2998588958,8.66,17.9
"82","Finland","2015",17.7,2.089484,1.543586,1.040587,90,0.93,7.448,9.64523888,42784.6983616432,9.38,16.9
"83","France","2006",34.3,1.474472,1.298723,0.5970889,7.4,0.871,6.583,10.39308834,36443.6263055433,8.45,34
"84","France","2008",34.8,1.507125,1.304794,0.54572,6.9,0.875,7.008,10.51212215,45334.117956922,7.06,33.6
"85","France","2009",35.3,1.452676,1.244509,0.5117519,6.9,0.876,6.283,11.29670525,41575.4219609625,8.74,32.6
"86","France","2010",34.9,1.506714,1.202857,0.6810876,6.8,0.879,6.798,11.24011326,40638.3352541414,8.87,34.8
"87","France","2011",34,1.438322,1.170668,0.6029928,7.01,0.882,6.959,11.20183182,43790.7260166781,8.81,33.7
"88","France","2012",33.6,1.443496,1.238106,0.5549415,71,0.885,6.649,11.31324291,40874.7003927338,9.4,34.5
"89","France","2013",32.6,1.409796,1.219247,0.4487441,71,0.889,6.667,11.43607998,42592.9353850549,9.92,33.5
"90","France","2014",34.8,1.456656,1.21816,0.3005685,69,0.893,6.467,11.58073521,43011.2631028417,10.29,32.2
"91","France","2015",33.7,1.398506,1.206641,0.1067064,70,0.895,6.358,11.46616745,36638.184929157,10.35,32
"92","Germany","2007",38.4,1.772996,1.336478,0.9960085,7.8,0.921,6.417,10.05104923,41587.2128984264,8.66,33.9
"93","Germany","2008",37.3,1.745706,1.336778,0.9458345,7.9,0.924,6.522,10.2510128,45427.151677489,7.53,31.7
"94","Germany","2009",36.2,1.655951,1.334962,0.8605308,8,0.924,6.641,11.23758507,41485.9016495139,7.74,29.7
"95","Germany","2010",35.4,1.64464,1.297783,0.7968345,7.9,0.927,6.725,11.0968647,41531.9341978689,6.97,30.6
"96","Germany","2011",33.9,1.627287,1.349211,0.8422185,8.05,0.933,6.621,10.77629662,46644.776027968,5.82,28.1
"97","Germany","2012",31.7,1.676166,1.393738,0.7756213,79,0.934,6.702,10.84700775,43858.3630551076,5.38,28.6
"98","Germany","2013",29.7,1.650206,1.406184,0.9279839,78,0.935,6.965,10.99187183,46285.7640688407,5.23,28.1
"99","Germany","2014",30.6,1.854514,1.43633,0.9251865,79,0.937,6.984,11.01583958,47959.9932737599,4.98,25.8
"100","Germany","2015",28.1,1.794228,1.421997,0.6998243,81,0.938,7.037,11.17801952,41086.7296737253,4.62,24.7
"101","Greece","2007",43.5,0.8723755,0.9838739,0.5241894,4.6,0.857,6.647,8.39808178,28827.3263926878,8.4,50.4
"102","Greece","2009",46.1,0.6528149,0.8914437,-0.2077363,3.8,0.867,6.039,9.40688515,29710.970232488,9.62,50.6
"103","Greece","2010",45.9,0.5898624,0.8977181,-0.1272069,3.5,0.865,5.84,9.51564121,26690.6074159782,12.71,52.1
"104","Greece","2011",47.4,0.5396303,0.820455,-0.0986952,3.39,0.862,5.372,9.02808571,25450.5341194438,17.87,52.6
"105","Greece","2012",50.4,0.3931225,0.7007905,-0.2172487,36,0.865,5.096,8.79238129,21915.1913231364,24.44,55.9
"106","Greece","2013",50.6,0.4721287,0.6872375,-0.1713417,40,0.867,4.72,8.31875896,21749.1524824445,27.47,57.5
"107","Greece","2014",52.1,0.3739754,0.6187572,-0.140446,43,0.875,4.756,7.84993553,21601.7763985974,26.49,55.3
"108","Greece","2015",52.6,0.2769418,0.6515436,-0.2302524,46,0.877,5.623,8.01678371,18050.0976100746,24.9,53.9
"109","Hungary","2007",51.2,0.9641744,1.041056,0.747174,5.3,0.818,4.954,7.21529293,13918.9601910137,7.41,48.3
"110","Hungary","2009",50.7,0.7964902,0.909685,0.5356742,5.1,0.828,4.895,7.2392807,13046.4810081848,10.03,47.6
"111","Hungary","2010",50.1,0.7787541,0.8942028,0.6857837,4.7,0.831,4.725,7.5076437,13191.6212644696,11.17,48.3
"112","Hungary","2011",48.7,0.7634746,0.8369731,0.7432541,4.56,0.828,4.918,7.52545595,14216.1656114334,11.03,49.1
"113","Hungary","2012",48.3,0.6163493,0.7493677,0.6757948,55,0.831,4.683,7.44883251,12950.6865153085,11,52.7
"114","Hungary","2013",47.6,0.588275,0.7371929,0.7966461,54,0.839,4.914,7.24911928,13687.5140593304,10.18,52
"115","Hungary","2014",48.3,0.509783,0.5532663,0.6699048,54,0.838,5.181,7.07047558,14267.0121547683,7.73,50.2
"116","Hungary","2015",49.1,0.4073128,0.5599742,0.7462977,51,0.842,5.344,6.88948917,12706.8912148924,6.81,49.6
"117","Iceland","2008",20.9,1.865286,1.42565,1.215352,8.9,0.899,6.888,8.58694077,56943.3704468563,2.95,22.8
"118","Iceland","2012",29.1,1.684921,1.44295,1.245032,82,0.915,7.591,8.19516754,45995.5478789467,6,22.5
"119","Iceland","2013",24.7,1.662046,1.439569,1.287134,78,0.927,7.501,8.22141075,49804.9829978371,5.38,19.8
"120","Ireland","2006",18.6,1.722037,1.396541,1.191983,7.4,0.906,7.144,7.5133214,54283.0647249869,4.42,25.3
"121","Ireland","2008",19.9,1.715704,1.42259,1.18624,7.7,0.911,7.568,9.10202408,61213.3065219911,6.77,26.5
"122","Ireland","2009",21.6,1.750502,1.353574,1.056545,8,0.906,7.046,10.48682594,52008.72824346,12.61,24.8
"123","Ireland","2010",22.4,1.768085,1.324432,1.020165,8,0.901,7.257,10.50265503,48698.1653176731,14.53,26.1
"124","Ireland","2011",25.3,1.755863,1.305361,0.9489989,7.54,0.902,7.007,10.70849514,51886.5084852792,15.35,24.6
"125","Ireland","2012",26.5,1.73423,1.322521,0.9410727,69,0.908,6.965,10.68722248,48914.6175297166,15.45,22.5
"126","Ireland","2013",24.8,1.717427,1.311735,0.9010757,72,0.917,6.76,10.30022049,51577.279358775,13.74,22.3
"127","Ireland","2014",26.1,1.764592,1.317501,1.052991,74,0.928,7.018,9.67580032,55586.9625976761,11.86,20.7
"128","Ireland","2015",24.6,1.762358,1.334674,0.9084555,75,0.935,6.83,7.31716299,62000.1188069238,9.91,20.6
"129","Italy","2007",37.1,0.4787489,1.111907,0.4476521,5.2,0.874,6.574,8.13610077,37822.6652377427,6.08,45.8
"130","Italy","2008",39.9,0.4551162,1.032024,0.5492006,4.8,0.876,6.78,8.53282356,40778.3427367209,6.72,45.8
"131","Italy","2009",43.9,0.4047396,1.03418,0.3482109,4.3,0.876,6.334,8.95162296,37079.7586704546,7.75,44.6
"132","Italy","2010",45.7,0.46055,0.9627974,0.4739237,3.9,0.879,6.354,8.91602039,36000.5201179254,8.36,43.4
"133","Italy","2011",45.8,0.4896189,0.9118239,0.5012074,3.91,0.883,6.057,8.77413177,38599.0622070322,8.36,43.2
"134","Italy","2012",45.8,0.4308912,0.9168093,0.5082175,42,0.882,5.839,8.78352833,35053.5262442572,10.66,43.1
"135","Italy","2013",44.6,0.4412664,0.9542174,0.4954992,43,0.881,6.009,8.77543831,35549.9746972954,12.15,45.2
"136","Italy","2014",43.4,0.4226375,0.9992626,0.4581654,43,0.882,6.027,8.86791897,35518.4152916749,12.68,43.8
"137","Italy","2015",43.2,0.3142381,1.034772,0.3759197,44,0.882,5.848,8.85689163,30230.2263021296,11.9,43.8
"138","Japan","2007",28.5,1.335137,0.9699463,1.010045,7.5,0.882,6.238,7.89046049,35275.2284312667,3.9,31
"139","Japan","2008",29.7,1.318866,0.9488592,0.8941537,7.3,0.883,5.911,8.19951439,39339.2975731826,4,43.5
"140","Japan","2009",31.2,1.293836,1.021046,0.9757358,7.7,0.882,5.845,9.0582962,40855.1756354596,5.1,36.1
"141","Japan","2010",31.3,1.326391,1.040693,0.8793532,7.8,0.887,6.057,9.15677357,44507.6763859172,5.1,36.3
"142","Japan","2011",31,1.311966,1.071133,0.995092,8.04,0.892,6.263,10.61671734,48167.9972684965,4.52,36
"143","Japan","2012",43.5,1.357793,1.101295,0.9484429,74,0.897,5.968,10.79065323,48603.4766497749,4.3,35.1
"144","Japan","2013",36.1,1.44361,1.109647,1.019142,74,0.902,5.959,10.79159355,40454.4474578903,4,37.4
"145","Japan","2014",36.3,1.601478,1.036089,0.9685974,76,0.906,5.923,10.83204937,38109.4121125573,3.6,34.5
"146","Japan","2015",36,1.518585,0.9880549,1.065128,75,0.908,5.88,10.88550663,34524.4698609337,3.4,34.3
"147","Latvia","2006",56.2,0.669318,0.8466991,0.8386412,4.7,0.816,4.71,5.7398572,9699.72166234066,7.03,54.2
"148","Latvia","2007",56.7,0.7592566,0.8289153,0.5622184,4.8,0.825,4.667,5.54140186,14091.0476501135,6.05,51.9
"149","Latvia","2008",54.5,0.8092072,0.7807863,0.2045949,5,0.828,5.145,5.61553001,16422.1119788425,7.74,47.9
"150","Latvia","2009",54.6,0.8143532,0.8499379,0.3484597,4.5,0.826,4.669,6.13475847,12288.2138312435,17.52,48
"151","Latvia","2011",54.2,0.7469991,0.7367753,0.3200021,4.19,0.829,4.967,5.56752443,13776.0887766199,16.21,48.5
"152","Latvia","2012",51.9,0.7854376,0.7755156,0.4536267,49,0.832,5.125,5.41030407,13923.4739800663,15.05,47.4
"153","Latvia","2013",47.9,0.7677668,0.7704234,0.5936353,53,0.839,5.07,5.39593935,15122.7352781866,11.87,46.4
"154","Latvia","2014",48,0.8723073,0.8494349,0.4872684,55,0.845,5.729,5.4568367,15713.536972819,10.85,44.9
"155","Latvia","2015",48.5,0.7944799,0.8465344,0.4437472,55,0.849,5.881,5.68592453,13774.6052739114,9.87,43.9
"156","Lithuania","2006",49.7,0.7163033,0.8612876,0.8703759,4.8,0.826,5.954,5.83789873,9230.70798102521,5.78,47.8
"157","Lithuania","2007",49,0.7266968,0.8865519,0.8172772,4.8,0.833,5.808,5.75847721,12285.4470537014,4.25,45.3
"158","Lithuania","2008",48.7,0.7224829,0.8496562,0.7462569,4.6,0.838,5.554,6.28756523,14944.996652175,5.83,44.2
"159","Lithuania","2009",48,0.7280318,0.9021598,0.6312088,4.9,0.828,5.467,7.35553408,11820.7761591359,13.79,43
"160","Lithuania","2010",47.8,0.7823811,0.9156346,0.7152606,5,0.831,5.066,6.83376026,11987.508411647,17.81,43.2
"161","Lithuania","2011",45.3,0.7749324,0.8605259,0.6712003,4.75,0.838,5.432,6.5051465,14376.9478643932,15.39,43
"162","Lithuania","2012",44.2,0.8503729,0.9295096,0.7862099,54,0.841,5.771,6.29071617,14367.709424872,13.37,42.4
"163","Lithuania","2013",43,0.8359193,0.9400197,0.9645323,57,0.847,5.596,6.13548851,15729.6524666512,11.77,41.7
"164","Lithuania","2014",43.2,0.9391028,0.9615911,0.7421364,58,0.859,6.126,6.19952059,16551.018202078,10.7,39.4
"165","Lithuania","2015",43,1.007931,0.97391,0.759794,61,0.862,5.711,6.49459124,14258.2293345128,9.12,38.1
"166","Luxembourg","2009",27.6,1.827186,1.555082,1.450533,8.2,0.893,6.958,7.33979321,103198.669312625,5.12,23.3
"167","Luxembourg","2010",27.3,1.851464,1.574836,1.461219,8.5,0.898,7.097,7.03158236,104965.306078267,4.36,24.6
"168","Luxembourg","2011",26.1,1.833121,1.604539,1.317427,8.51,0.899,7.101,6.11205053,115761.507705096,4.9,22.1
"169","Luxembourg","2012",25.5,1.798814,1.649901,1.331919,80,0.9,6.964,5.58377266,106749.013622989,5.14,24.1
"170","Luxembourg","2013",23.3,1.816194,1.631096,1.335248,80,0.9,7.131,5.52774715,113625.13289956,5.85,23.4
"171","Luxembourg","2014",24.6,1.906429,1.554682,1.378324,82,0.903,6.891,5.43687868,118823.648368575,5.85,20.8
"172","Luxembourg","2015",22.1,1.874508,1.54681,1.439398,81,0.906,6.702,5.28378248,101376.496574339,6.67,20.4
"173","Malta","2009",48.8,1.480706,1.152722,1.248981,5.2,0.84,6.328,8.08001804,21083.2771462998,6.89,42.4
"174","Malta","2010",48.2,1.416995,1.167213,1.253456,5.6,0.853,5.774,8.21274376,21799.1742559798,6.85,43
"175","Malta","2011",45.4,1.286783,1.143347,1.063937,5.59,0.853,6.155,8.56064224,23155.5547893882,6.38,40.9
"176","Malta","2012",43.8,1.344915,1.165388,1.065075,57,0.86,5.963,8.608181,22527.6367563271,6.2,39.6
"177","Malta","2013",42.4,1.332989,1.156572,1.042758,56,0.867,6.38,8.8266449,24771.0765781929,6.11,38.6
"178","Malta","2014",43,1.193569,1.184266,1.125497,55,0.874,6.452,9.34200478,26754.2684451944,5.73,36.2
"179","Malta","2015",40.9,1.135466,1.202808,1.063939,56,0.88,6.613,9.20896149,24921.6036820869,5.38,34.5
"180","Netherlands","2007",28.6,1.78735,1.523433,0.7785201,9,0.91,7.452,9.05292511,51733.4421317965,4.15,28.1
"181","Netherlands","2008",27.3,1.761363,1.483086,0.8650271,8.9,0.913,7.631,9.27660465,57644.4799749353,3.65,26.9
"182","Netherlands","2010",27.9,1.81906,1.450569,0.9407501,8.8,0.917,7.502,10.15508747,50950.0343435181,4.99,28.6
"183","Netherlands","2011",28.3,1.822137,1.537048,1.113631,8.89,0.928,7.564,10.23357868,54159.3466126142,4.98,26.9
"184","Netherlands","2012",28.1,1.859908,1.605585,1.187465,84,0.928,7.471,10.53898716,50073.0056559308,5.82,28.2
"185","Netherlands","2013",26.9,1.833919,1.566973,1.143815,83,0.93,7.407,10.58363628,52184.0618504931,7.24,27.4
"186","Netherlands","2014",28.6,1.977988,1.547281,1.045115,83,0.932,7.321,10.56703758,52830.1742328055,7.42,26.2
"187","Netherlands","2015",26.9,1.942948,1.561143,0.9261193,87,0.934,7.324,10.32396889,45175.2318933798,6.87,24.8
"188","New Zealand","2006",19.4,1.808222,1.499365,1.25541,9.6,0.898,7.305,8.63299561,26654.5932018985,3.86,24.8
"189","New Zealand","2007",20.5,1.844565,1.477947,1.243147,9.4,0.901,7.604,8.3210659,32479.9817381467,3.66,25.6
"190","New Zealand","2008",21.4,1.862746,1.478389,1.162778,9.3,0.902,7.381,9.11295509,31252.9625640673,4.17,22.7
"191","New Zealand","2010",23.9,1.869271,1.507506,1.236489,9.3,0.906,7.224,9.58612823,33676.7741239925,6.56,24.1
"192","New Zealand","2011",24.8,1.90442,1.579076,1.376731,9.46,0.909,7.191,9.50751114,38387.6270784076,6.49,22.6
"193","New Zealand","2012",25.6,1.890485,1.617722,1.361366,90,0.911,7.25,9.64937401,39973.3807587223,6.93,21.3
"194","New Zealand","2013",22.7,1.878849,1.606078,1.453927,91,0.914,7.28,9.36316967,42976.6495882584,5.77,22.6
"195","New Zealand","2014",24.1,2.008719,1.524384,1.467928,91,0.916,7.306,9.4200058,44572.8987536626,5.37,20.9
"196","New Zealand","2015",22.6,2.001249,1.554845,1.525453,88,0.921,7.418,9.31466961,38630.7265886928,5.35,20.1
"197","Norway","2006",16.8,1.979785,1.54218,1.253358,8.8,0.934,7.416,7.91272211,74148.3200757187,3.4,20.9
"198","Norway","2008",16.8,1.970247,1.548039,1.28515,7.9,0.937,7.632,7.96075296,96944.0956064873,2.55,21.2
"199","Norway","2012",23.9,1.958414,1.728163,1.32747,85,0.941,7.678,8.77787876,101524.141851985,3.12,20.5
"200","Norway","2014",23,2.028991,1.684087,1.119959,86,0.944,7.444,9.34493351,97019.1827527462,3.48,18.3
"201","Norway","2015",20.9,2.011003,1.687913,1.161716,87,0.947,7.603,10.13146877,74355.5158575643,4.3,18
"202","Poland","2007",47.6,0.4286534,0.8795024,0.6827373,4.2,0.824,5.886,5.87294197,11254.5173881254,9.6,44.3
"203","Poland","2009",49.6,0.6284057,1.026881,0.9380806,5,0.834,5.772,6.58686304,11526.0558884824,8.17,40.9
"204","Poland","2010",49,0.6852992,1.037602,1.01733,5.3,0.84,5.887,6.4190917,12613.0109954681,9.64,42.1
"205","Poland","2011",46.8,0.7662134,1.027628,1.072063,5.48,0.845,5.646,6.23382092,13879.5609852546,9.63,39.8
"206","Poland","2012",44.3,0.7798713,1.064276,1.049479,58,0.842,5.876,6.20108318,13097.2708482174,10.09,40.7
"207","Poland","2013",40.9,0.7996315,0.9981389,0.973355,60,0.856,5.746,6.3754797,13696.4663046143,10.33,40.8
"208","Poland","2014",42.1,0.8201537,1.105113,0.8429408,61,0.858,5.75,6.35254002,14271.3058536202,8.99,41.5
"209","Poland","2015",39.8,0.7830253,1.039736,0.8748524,62,0.863,6.007,6.39785814,12578.4954734362,7.5,42.8
"210","Portugal","2006",32.7,0.98591,1.232662,0.9529556,6.6,0.811,5.405,9.1355257,19822.8460287336,7.65,34.2
"211","Portugal","2008",31.8,1.020404,1.201864,0.9884541,6.1,0.817,5.717,9.34049129,24847.545135091,7.55,32.6
"212","Portugal","2010",33.1,1.032241,1.107203,0.717687,6,0.829,5.095,9.83691692,22498.6908586557,10.77,33.1
"213","Portugal","2011",32.3,1.003877,1.107911,0.7417393,6.1,0.833,5.22,9.53497028,23186.9131283278,12.68,29.7
"214","Portugal","2012",34.2,1.042036,1.028528,0.7752726,63,0.836,4.994,9.35394287,20564.8898617969,15.53,29.2
"215","Portugal","2013",32.6,1.045058,1.066935,0.7487634,62,0.84,5.158,9.07765675,21647.0418118869,16.18,29
"216","Portugal","2014",33.1,1.121675,1.107446,0.8062744,63,0.847,5.127,9.02365017,22074.3007634216,13.89,27.3
"217","Portugal","2015",29.7,1.131652,1.128678,0.9178401,63,0.854,5.081,8.97663212,19242.3664710981,12.44,25.3
"218","Romania","2007",60.9,-0.09074,0.4989977,0.1983791,3.7,0.788,5.394,5.02223349,8360.16632132485,6.41,59.5
